ticker,name,phone_number,address,city,state,postal_code,homepage_url,sic_description,description
MSFT,Microsoft Corp,425-882-8080,ONE MICROSOFT WAY,REDMOND,WA,98052,http://www.microsoft.com,SERVICES-PREPACKAGED SOFTWARE,"Microsoft develops and licenses consumer and enterprise software. It is known for its Windows operating systems and Office productivity suite. The company is organized into three equally sized broad segments: productivity and business processes (legacy Microsoft Office, cloud-based Office 365, Exchange, SharePoint, Skype, LinkedIn, Dynamics), intelligence cloud (infrastructure- and platform-as-a-service offerings Azure, Windows Server OS, SQL Server), and more personal computing (Windows Client, Xbox, Bing search, display advertising, and Surface laptops, tablets, and desktops)."
FB,"Meta Platforms, Inc.",650-618-7714,1601 WILLOW ROAD,MENLO PARK,CA,94025,https://www.facebook.com,"SERVICES-COMPUTER PROGRAMMING, DATA PROCESSING, ETC.","Meta Platforms Inc, formerly Facebook is the world's largest online social network, with 2.5 billion monthly active users. Users engage with each other by exchanging messages and sharing news events, photos, and videos. On the video side, the firm is in the process of building a library of premium content and monetizing it via ads or subscription revenue. Facebook refers to this as Facebook Watch. Its ecosystem consists mainly of the Facebook app, Instagram, Messenger, WhatsApp, and many features surrounding these products. Users can access Facebook on mobile devices and desktops. Advertising revenue represents more than 90% of the firm's total revenue, with 50% coming from the U.S. and Canada and 25% from Europe. With gross margins above 80%, Facebook operates at a 30%-plus margin."
AMZN,Amazon.Com Inc,206-266-1000,410 TERRY AVENUE NORTH,SEATTLE,WA,98109,https://www.amazon.com,RETAIL-CATALOG & MAIL-ORDER HOUSES,"Amazon is a leading online retailer and one of the highest-grossing e-commerce aggregators, with $386 billion in net sales and approximately $482 billion in estimated physical/digital online gross merchandise volume, or GMV, in 2020. Retail related revenue represented approximately 83% of total, followed by Amazon Web Services' cloud computing, storage, database, and other offerings (12%), and advertising services and cobranded credit cards (6%). International segments constituted 27% of Amazon's non-AWS sales in 2020, led by Germany, the United Kingdom, and Japan."
GS,Goldman Sachs Group Inc.,212-902-1000,200 WEST STREET,NEW YORK,NY,10282,https://www.gs.com,"SECURITY BROKERS, DEALERS & FLOTATION COMPANIES","Goldman Sachs is a leading global investment banking firm whose activities are organized into investment banking (20% of net revenue), global markets (40%), asset management (25%), and consumer and wealth management (15%) segments. Approximately 60% of the company's net revenue is generated in the Americas, 15% in Asia, and 25% in Europe, the Middle East, and Africa. In 2008, Goldman reorganized itself as a financial holding company regulated by the Federal Reserve System."
MS,Morgan Stanley,212-761-4000,1585 BROADWAY,NEW YORK,NY,10036,https://www.morganstanley.com,"SECURITY BROKERS, DEALERS & FLOTATION COMPANIES","Morgan Stanley is a global investment bank whose history, through its legacy firms, can be traced back to 1924. The company has institutional securities, wealth management, and investment management segments. The company had about $4 trillion of client assets as well as nearly 70,000 employees at the end of 2020. Approximately 40% of the company's net revenue is from its institutional securities business, with the remainder coming from wealth and investment management. The company derives about 30% of its total revenue outside the Americas."
V,VISA Inc.,650-432-3200,900 Metro Center Blvd,Foster City,CA,94404,https://www.usa.visa.com,"SERVICES-BUSINESS SERVICES, NEC","Visa is the largest payment processor in the world. In fiscal 2021, it processed over $10 trillion in purchase transactions. Visa operates in over 200 countries and processes transactions in over 160 currencies. Its systems are capable of processing over 65,000 transactions per second."
GME,GameStop Corp.,817-424-2000,625 WESTPORT PARKWAY,GRAPEVINE,TX,76051,https://www.gamestop.com,RETAIL-COMPUTER & COMPUTER SOFTWARE STORES,"GameStop Corp is a U.S. multichannel video game, consumer electronics, and services retailer. The company operates across Europe, Canada, Australia, and the United States. GameStop sells new and second-hand video game hardware, physical and digital video game software, and video game accessories, mainly through GameStop, EB Games, and Micromania stores and international e-commerce sites, including www.gamestop.com, www.ebgames.com.au, and www.micromania.fr. The company has two main business segments: Video game brands and Technology brands. The technology brands segment sells wireless products and services and operates Spring Mobile managed AT&T and Cricket Wireless branded stores, along with the Simply Mac business."
NFLX,NetFlix Inc.,408-540-3700,100 WINCHESTER CIRCLE,LOS GATOS,CA,95032,http://www.netflix.com,SERVICES-VIDEO TAPE RENTAL,"Netflix's primary business is a streaming video on demand service now available in almost every country worldwide except China. Netflix delivers original and third-party digital video content to PCs, Internet-connected TVs, and consumer electronic devices, including tablets, video game consoles, Apple TV, Roku, and Chromecast. In 2011, Netflix introduced DVD-only plans and separated the combined streaming and DVD plans, making it necessary for subscribers who want both to have separate plans."
KO,Coca-Cola Company,404-676-2121,ONE COCA COLA PLAZA,ATLANTA,GA,30313,https://www.coca-colacompany.com,BEVERAGES,"Coca-Cola is the largest nonalcoholic beverage entity in the world, owning and marketing some of the leading carbonated beverage brands, such as Coke, Fanta, and Sprite, as well as nonsparkling brands, such as Minute Maid, Georgia Coffee, Costa, and Glaceau. Operationally, the firm focuses its manufacturing efforts early in the supply chain, making the concentrate (or beverage bases) for its drinks that are then processed and distributed by its network of more than 100 bottlers. Concentrate operations represent roughly 85% of the company's unit case volume. The firm generates most of its revenue internationally, with countries like Mexico, Brazil, and Japan being key markets outside of the U.S."
JNJ,Johnson & Johnson,732-524-2455,ONE JOHNSON & JOHNSON PLZ,NEW BRUNSWICK,NJ,8933,http://www.jnj.com,PHARMACEUTICAL PREPARATIONS,"Johnson & Johnson is the world's largest and most diverse healthcare firm. Three divisions make up the firm: pharmaceutical, medical devices and diagnostics, and consumer. The drug and device groups represent close to 80% of sales and drive the majority of cash flows for the firm. The drug division focuses on the following therapeutic areas: immunology, oncology, neurology, pulmonary, cardiology, and metabolic diseases. The device segment focuses on orthopedics, surgery tools, vision care, and a few smaller areas. The last segment of consumer focuses on baby care, beauty, oral care, over-the-counter drugs, and women's health. Geographically, just over half of total sales are generated in the United States."
CRM,"salesforce.com, inc.",415-901-7000,415 MISSION STREET,SAN FRANCISCO,CA,94105,http://www.salesforce.com,SERVICES-PREPACKAGED SOFTWARE,"Salesforce.com provides enterprise cloud computing solutions, including Sales Cloud, the company's main customer relationship management software-as-a-service product. Salesforce.com also offers Service Cloud for customer support, Marketing Cloud for digital marketing campaigns, Commerce Cloud as an e-commerce engine, the Salesforce Platform, which allows enterprises to build applications, and other solutions, such as MuleSoft for data integration."
PYPL,"PayPal Holdings, Inc.",408-967-1000,2211 NORTH FIRST STREET,SAN JOSE,CA,95131,https://www.paypal.com,"SERVICES-BUSINESS SERVICES, NEC","PayPal was spun off from eBay in 2015 and provides electronic payment solutions to merchants and consumers, with a focus on online transactions. The company had 377 million active accounts at the end of 2020, including 29 million merchant accounts. The company also owns Xoom, an international money transfer business, and Venmo, a person-to-person payment platform."
XOM,Exxon Mobil Corporation,972-940-6000,5959 LAS COLINAS BLVD,IRVING,TX,75039,https://www.exxonmobil.com,PETROLEUM REFINING,"ExxonMobil is an integrated oil and gas company that explores for, produces, and refines oil around the world. In 2020, it produced 2.3 million barrels of liquids and 8.5 billion cubic feet of natural gas per day. At the end of 2019, reserves were 15.2 billion barrels of oil equivalent, 58% of which were liquids. The company is the world's largest refiner with a total global refining capacity of 4.8 million barrels of oil per day and one of the world's largest manufacturers of commodity and specialty chemicals."
HD,"Home Depot, Inc.",770-433-8211,2455 PACES FERRY ROAD,ATLANTA,GA,30339,https://www.homedepot.com,RETAIL-LUMBER & OTHER BUILDING MATERIALS DEALERS,"Home Depot is the world's largest home improvement specialty retailer, operating more than 2,300 warehouse-format stores offering more than 30,000 products in store and 1 million products online in the United States, Canada, and Mexico. Its stores offer numerous building materials, home improvement products, lawn and garden products, and decor products and provide various services, including home improvement installation services and tool and equipment rentals. The acquisition of distributor Interline Brands in 2015 allowed Home Depot to enter the maintenance, repair, and operations business, which has been expanded through the tie-up with HD Supply (2020). The addition of the Company Store brought textile exposure to Home Depot's lineup."
DIS,The Walt Disney Company,818-560-1000,500 SOUTH BUENA VISTA STREET,BURBANK,CA,91521,https://www.thewaltdisneycompany.com,SERVICES-MISCELLANEOUS AMUSEMENT & RECREATION,"Walt Disney owns the rights to some of the most globally recognized characters, from Mickey Mouse to Luke Skywalker. These characters and others are featured in several Disney theme parks around the world. Disney makes live-action and animated films under studios such as Pixar, Marvel, and Lucasfilm and also operates media networks including ESPN and several TV production studios. Disney recently reorganized into four segments with one new segment: direct-to-consumer and international. The new segment includes the two announced OTT offerings, ESPN+ and the Disney SVOD service. The plan also combines two segments, parks and resorts and consumer products, into one. The media networks group contains the U.S. cable channels and ABC. The studio segment holds the movie production assets."
INTC,Intel Corp,408-765-8080,2200 MISSION COLLEGE BLVD,SANTA CLARA,CA,95054,https://www.intel.com,SEMICONDUCTORS & RELATED DEVICES,"Intel is the world's largest chipmaker. It designs and manufactures microprocessors for the global personal computer and data center markets. Intel pioneered the x86 architecture for microprocessors. It was the prime proponent of Moore's law for advances in semiconductor manufacturing, though the firm has recently faced manufacturing delays. While Intel's server processor business has benefited from the shift to the cloud, the firm has also been expanding into new adjacencies as the personal computer market has stagnated. These include areas such as the Internet of Things, artificial intelligence, and automotive. Intel has been active on the merger and acquisitions front, acquiring Altera, Mobileye, and Habana Labs in order to bolster these efforts in non-PC arenas."
COP,ConocoPhillips,281-293-1000,925 N. ELDRIDGE PARKWAY,HOUSTON,TX,77079,http://www.conocophillips.com,PETROLEUM REFINING,"ConocoPhillips is a U.S.-based independent exploration and production firm. At the end of 2020, it produced 727,000 barrels per day of oil and natural gas liquids and 2.4 billion cubic feet per day of natural gas, primarily from Alaska and the Lower 48 in the United States and Norway in Europe and several countries in Asia-Pacific and the Middle East. Proven reserves at year-end 2020 were 4.5 billion barrels of oil equivalent."
CVX,Chevron Corporation,925-842-1000,6001 BOLLINGER CANYON ROAD,SAN RAMON,CA,94583,https://www.chevron.com,PETROLEUM REFINING,"Chevron is an integrated energy company with exploration, production, and refining operations worldwide. Chevron is the second- largest oil company in the United States with production of 3.1 million of barrels of oil equivalent a day, including 7.3 million cubic feet a day of natural gas and 1.9 million of barrels of liquids a day. Production activities take place in North America, South America, Europe, Africa, Asia, and Australia. Its refineries are in the U.S. and Asia for total refining capacity of 1.8 million barrels of oil a day. Proven reserves at year-end 2020 stood at 11.1 billion barrels of oil equivalent, including 6.1 billion barrels of liquids and 29.9 trillion cubic feet of natural gas."
SBUX,Starbucks Corp,206-447-1575,2401 Utah Avenue,SEATTLE,WA,98124,https://www.starbucks.com,RETAIL-EATING & DRINKING PLACES,"Starbucks is one of the most widely recognized restaurant brands in the world, operating more than 33,800 stores across 83 countries as of the end of the firm's fiscal 2021. The firm operates in three segments: North America, international markets, and channel development (grocery and ready-to-drink beverage). The coffee chain generates revenue from company-operated stores, royalties, sales of equipment and products to license partners, ready-to-drink beverages, packaged coffee sales, and single-serve products."
OXY,Occidental Petroleum Corporation,713-215-7000,5 GREENWAY PLAZA,HOUSTON,TX,77046,http://www.oxy.com,CRUDE PETROLEUM & NATURAL GAS,"Occidental Petroleum is an independent exploration and production company with operations in the United States, Latin America, and the Middle East. At the end of 2020, the company reported net proved reserves of 2.9 billion barrels of oil equivalent. Net production averaged 1,306 thousand barrels of oil equivalent per day in 2020 at a ratio of 74% oil and natural gas liquids and 26% natural gas."
WMT,Walmart Inc.,501-273-4000,702 SOUTHWEST 8TH ST,BENTONVILLE,AR,72716,https://stock.walmart.com,RETAIL-VARIETY STORES,"America's largest retailer by sales, Walmart operated over 11,400 stores under 54 banners at the end of fiscal 2021, selling a variety of general merchandise and grocery items. Its home market accounted for 78% of sales in fiscal 2021, with Mexico and Central America (6%) and Canada (4%) its largest external markets. In the United States, around 56% of sales come from grocery, 32% from general merchandise, and 10% from health and wellness items. The company operates several e-commerce properties apart from its eponymous site, including Flipkart and shoes.com (it also owns a roughly 10% stake in Chinese online retailer JD.com). Combined, e-commerce accounted for about 12% of fiscal 2021 sales."
MPC,MARATHON PETROLEUM CORPORATION,419-421-2159,539 SOUTH MAIN STREET,FINDLAY,OH,45840,https://www.marathonpetroleum.com,PETROLEUM REFINING,"Marathon Petroleum is an independent refiner with 13 refineries in the midcontinent, West Coast, and Gulf Coast of the United States with total throughput capacity of 2.9 million barrels per day. The firm also owns and operates midstream assets primarily through its listed MLP, MPLX."
SLB,Schlumberger Limited,713-513-2000,5599 SAN FELIPE,HOUSTON,TX,77056,https://www.slb.com,"OIL & GAS FIELD SERVICES, NEC","Schlumberger is the world's largest supplier of products and services to the oil and gas industry. The company operates its business via multiple groups: reservoir characterization, drilling, production, and Cameron. It is investing more than any other services firm to make its offerings more bundled, which it believes is likely to be one of the key industry trends during the next 10 years. Efforts on this front are most visible via the Schlumberger Production Management business, which now accounts for 10% of its revenue."
PSX,PHILLIPS 66,281-293-6600,2331 CITYWEST BLVD.,HOUSTON,TX,77042,http://www.phillips66.com,PETROLEUM REFINING,"Phillips 66 is an independent refiner with 13 refineries that have a total crude throughput capacity of 2.2 million barrels per day. In 2022, it will convert its 255 mbd Alliance refinery to a terminal. The midstream segment comprises extensive transportation and natural gas liquid processing assets including those held in Phillips 66 partners, in which Phillips 66 owns a 74% interest. It plans to aquire the outstanding interest in PSXP in early 2022. It also includes its DCP Midstream joint venture, which holds 45 natural gas processing facilities, 11 NGL fractionation plants, and a natural gas pipeline system with 58,000 miles of pipeline. Its CPChem chemical joint venture operates facilities in the United States and the Middle East and primarily produces olefins and polyolefins."
VLO,Valero Energy Corporation,210-345-4524,One Valero Way,SAN ANTONIO,TX,78249,https://www.valero.com,PETROLEUM REFINING,"Valero Energy is one of the largest independent refiners in the United States. It operates 14 refineries with a total throughput capacity of 3.2 million barrels a day in the United States, Canada, and the United Kingdom. Valero also owns 14 ethanol plants with capacity of 1.7 billion gallons of ethanol a year and holds a 50% stake in Diamond Green Diesel, which has capacity to produce 275 million gallons per year of renewable diesel."
